user_id,trip_duration_mins,departure_hour,historical_avg_latency_sec,sound_frequency_hz,vibration_enabled,prev_snooze_count,vehicle_speed_kmh,target_wake_latency_sec
USER_08,180.0,20,80.0,520,0,1,58.0,88.0
USER_08,310.0,23,105.0,650,1,1,66.0,118.0
USER_08,430.0,1,132.0,750,1,2,72.0,152.0
USER_09,85.0,12,22.0,520,1,0,44.0,19.5
USER_09,155.0,17,26.0,520,1,0,50.0,24.0
USER_09,270.0,22,40.0,650,1,1,62.0,46.0
USER_10,240.0,21,118.0,440,0,1,62.0,128.0
USER_10,360.0,0,148.0,520,1,2,66.0,160.0
USER_10,480.0,3,175.0,750,1,3,60.0,194.0
USER_11,45.0,8,11.0,880,1,0,30.0,10.0
USER_11,95.0,14,13.5,880,1,0,44.0,12.2
USER_11,190.0,18,17.5,880,1,0,56.0,16.5
USER_12,160.0,19,60.0,520,1,0,50.0,64.0
USER_12,290.0,22,84.0,650,1,1,68.0,94.0
USER_12,410.0,1,110.0,750,1,2,70.0,125.0
USER_13,75.0,11,17.5,520,1,0,38.0,15.5
USER_13,140.0,16,23.0,520,1,0,48.0,22.0
USER_13,250.0,20,33.0,650,1,0,62.0,35.0
USER_14,210.0,21,132.0,440,0,1,60.0,144.0
USER_14,340.0,0,158.0,520,1,2,64.0,170.0
USER_14,460.0,2,182.0,750,1,3,62.0,198.0
USER_15,70.0,9,15.0,650,1,0,36.0,13.5
USER_15,130.0,15,19.5,650,1,0,46.0,17.5
USER_15,240.0,19,28.0,750,1,0,60.0,30.0
USER_01,100.0,16,22.0,520,1,0,50.0,21.0
USER_02,250.0,23,160.0,520,1,2,66.0,172.0
USER_03,160.0,19,16.5,880,1,0,50.0,15.0
USER_04,220.0,20,60.0,650,1,1,60.0,66.0
USER_05,140.0,17,32.0,520,1,0,48.0,31.0
USER_06,370.0,1,168.0,650,1,3,68.0,182.0
USER_07,180.0,19,25.0,650,1,0,54.0,24.0
USER_08,240.0,22,90.0,650,1,1,64.0,98.0
USER_09,190.0,21,32.0,650,1,0,56.0,35.0
USER_10,300.0,23,132.0,520,1,2,64.0,144.0
USER_11,130.0,16,14.5,880,1,0,48.0,13.0
USER_12,220.0,21,70.0,650,1,1,62.0,76.0
USER_13,180.0,18,26.0,650,1,0,54.0,28.0
USER_14,280.0,22,142.0,520,1,2,62.0,154.0
USER_15,160.0,18,22.0,650,1,0,52.0,21.0
USER_01,200.0,22,35.0,650,1,0,65.0,38.0
USER_02,360.0,2,185.0,750,1,3,70.0,202.0
USER_03,280.0,21,21.0,880,1,0,62.0,23.5
USER_04,350.0,1,82.0,750,1,2,68.0,94.0
USER_05,260.0,20,42.0,520,1,0,60.0,46.0
USER_06,490.0,4,195.0,750,1,3,64.0,215.0
USER_07,320.0,22,40.0,750,1,1,68.0,42.0
USER_08,460.0,3,140.0,750,1,3,70.0,160.0
USER_09,310.0,23,45.0,650,1,1,66.0,50.0
USER_10,500.0,4,182.0,750,1,3,62.0,205.0
